unix_time,delta_value
1682333331,1
1682333332,1415406
1682333333,79758
1682333334,97259
1682333335,60269
1682333336,149455
1682333337,637792
1682333338,33917
1682333339,188341
1682333340,173727
1682333341,131717
1682333342,1403657
1682333343,143332
1682333344,1356903
1682333345,2201381
1682333346,1711794
1682333347,784687
1682333348,283715
1682333349,22450
1682333350,34651
1682333351,277162
1682333352,307895
1682333353,59746
1682333354,88294
1682333355,1727278
1682333356,84998
1682333357,904626
1682333358,125699
1682333359,69809
