unix_time,meditation_value
1682333743,35
1682333744,29
1682333745,23
1682333746,11
1682333747,20
1682333748,44
1682333749,54
1682333750,69
1682333751,48
1682333752,43
1682333753,41
1682333754,47
1682333755,60
1682333756,34
1682333757,26
1682333758,26
1682333759,35
