unix_time,midGamma_value
1682333332,26789
1682333333,7369
1682333334,5673
1682333335,1519
1682333336,5643
1682333337,5595
1682333338,7546
1682333339,7170
1682333340,3059
1682333341,3823
1682333342,11315
1682333343,1842
1682333344,23696
1682333345,10065
1682333346,46189
1682333347,3226
1682333348,5327
1682333349,1344
1682333350,10041
1682333351,13391
1682333352,9680
1682333353,2134
1682333354,2026
1682333355,5144
1682333356,3446
1682333357,6915
1682333358,8700
1682333359,1174
