unix_time,lowBeta_value
1682333739,121921
1682333740,4064
1682333741,29433
1682333742,5707
1682333743,28029
1682333744,48832
1682333745,33365
1682333746,4371
1682333747,1108
1682333748,26955
1682333749,18674
1682333750,2955
1682333751,41072
1682333752,4075
1682333753,10056
1682333754,22393
1682333755,46807
1682333756,60243
1682333757,24388
1682333758,5463
1682333759,5426
