unix_time,highBeta_value
1682333739,54283
1682333740,4192
1682333741,20074
1682333742,9771
1682333743,13103
1682333744,14430
1682333745,21374
1682333746,2056
1682333747,4620
1682333748,7870
1682333749,6101
1682333750,4687
1682333751,16034
1682333752,5324
1682333753,13109
1682333754,11256
1682333755,12741
1682333756,19277
1682333757,16321
1682333758,4870
1682333759,5978
