unix_time,lowBeta_value
1682333332,163937
1682333333,39985
1682333334,24891
1682333335,2667
1682333336,21769
1682333337,33944
1682333338,29534
1682333339,14286
1682333340,11066
1682333341,1665
1682333342,23514
1682333343,5485
1682333344,23570
1682333345,35186
1682333346,216619
1682333347,18015
1682333348,13202
1682333349,2130
1682333350,16478
1682333351,20338
1682333352,16033
1682333353,6976
1682333354,6592
1682333355,9561
1682333356,4759
1682333357,17821
1682333358,13970
1682333359,4497
