unix_time,lowGamma_value
1682333739,30376
1682333740,1830
1682333741,10195
1682333742,4128
1682333743,21157
1682333744,4634
1682333745,4871
1682333746,456
1682333747,1790
1682333748,9813
1682333749,3117
1682333750,1317
1682333751,15743
1682333752,1738
1682333753,1864
1682333754,3556
1682333755,6059
1682333756,6277
1682333757,10811
1682333758,1396
1682333759,3488
