unix_time,lowAlpha_value
1682333739,296922
1682333740,12644
1682333741,42828
1682333742,6142
1682333743,12123
1682333744,41115
1682333745,40281
1682333746,10522
1682333747,5707
1682333748,100771
1682333749,13107
1682333750,9863
1682333751,11204
1682333752,7294
1682333753,50778
1682333754,59994
1682333755,17428
1682333756,24294
1682333757,34044
1682333758,13041
1682333759,18300
