unix_time,theta_value
1682334053,446107
1682334054,9028
1682334055,97681
1682334056,41983
1682334057,156740
1682334058,24819
1682334059,116105
1682334060,281036
1682334061,36034
1682334062,33857
1682334063,543195
1682334064,297530
1682334065,74502
1682334066,221043
1682334067,116522
1682334068,464671
1682334069,45862
1682334070,35202
1682334071,106461
1682334072,341191
1682334073,296065
1682334074,228188
1682334075,27338
1682334076,196334
1682334077,22026
1682334078,119589
1682334079,36063
1682334080,19138
1682334081,33096
1682334082,24533
1682334083,467231
1682334084,302336
1682334085,49835
1682334086,72425
1682334087,128627
1682334088,45068
1682334089,11123
1682334090,28790
1682334091,19963
1682334092,41848
1682334093,33199
1682334094,43286
1682334095,135576
1682334096,143168
1682334097,82368
1682334098,23676
1682334099,308149
1682334100,476795
1682334101,26912
1682334102,775790
1682334103,25952
1682334104,92135
1682334105,577248
1682334106,111274
1682334107,59555
1682334108,191225
