unix_time,theta_value
1682333739,188091
1682333740,16456
1682333741,43749
1682333742,35059
1682333743,41001
1682333744,67271
1682333745,135599
1682333746,33028
1682333747,15800
1682333748,65100
1682333749,11212
1682333750,18584
1682333751,109763
1682333752,8478
1682333753,141643
1682333754,104172
1682333755,46614
1682333756,262784
1682333757,133857
1682333758,16320
1682333759,22205
