unix_time,midGamma_value
1682333739,21198
1682333740,2001
1682333741,3293
1682333742,1530
1682333743,6928
1682333744,4965
1682333745,7567
1682333746,1803
1682333747,679
1682333748,5526
1682333749,1235
1682333750,1426
1682333751,4655
1682333752,1350
1682333753,2029
1682333754,3520
1682333755,7078
1682333756,10581
1682333757,9012
1682333758,2321
1682333759,2793
