unix_time,lowGamma_value
1682333332,26844
1682333333,5885
1682333334,9862
1682333335,1416
1682333336,12716
1682333337,4981
1682333338,6871
1682333339,4594
1682333340,4875
1682333341,3442
1682333342,24895
1682333343,1904
1682333344,18541
1682333345,9236
1682333346,59851
1682333347,5803
1682333348,21609
1682333349,3936
1682333350,14918
1682333351,17782
1682333352,15915
1682333353,3055
1682333354,2282
1682333355,14734
1682333356,914
1682333357,8773
1682333358,18951
1682333359,6203
